ID,CustomerID,OrderDate
1,15,2024-01-05
2,3,2024-01-12
3,1,2024-01-18
4,9,2024-01-25
5,2,2024-02-03
6,4,2024-02-10
7,6,2024-02-17
8,21,2024-02-24
9,11,2024-03-02
10,13,2024-03-09
11,5,2024-03-16
12,19,2024-03-23
13,17,2024-03-30
14,7,2024-04-06
15,23,2024-04-13
16,15,2024-04-20
17,8,2024-04-27
18,11,2024-05-04
19,5,2024-05-11
20,19,2024-05-18
21,23,2024-05-25
22,15,2024-06-01
23,9,2024-06-08
24,11,2024-06-15
25,5,2024-06-22
26,23,2024-06-29
27,13,2024-07-06
28,19,2024-07-13
29,15,2024-07-20
30,17,2024-07-27
31,11,2024-08-03
32,5,2024-08-10
33,23,2024-08-17
34,15,2024-08-24
35,9,2024-08-31
36,19,2024-09-07
37,2,2024-09-14
38,23,2024-09-21
39,15,2024-09-28
40,11,2024-10-05
41,5,2024-10-12
42,19,2024-10-19
43,15,2024-10-26
44,23,2024-11-02
45,9,2024-11-09
46,17,2024-11-16
47,15,2024-12-01
48,10,2024-12-03
49,12,2024-12-06
50,14,2024-12-09
51,16,2024-12-12
52,18,2024-12-15
